OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,SiteEnergyUse(kBtu)_log
1,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,60.0,1,89,1.0,0.0,1.0,0.0,0.0,88434.0,7369.5,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.8000502801282303,15.793246493880627
2,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Parking,Food Service,61.0,3,20,0.8545468590077825,0.1454531409922175,0.8099183129598517,0.1454531409922175,0.04462854604793079,103566.0,9415.091,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,0.7870765132003066,15.942304802589588
3,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,43.0,1,47,0.7942517074395206,0.20574829256047944,0.791219629540534,0.0,0.0,956110.0,23319.756,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,High_steam,Medium_gas,0.9701094014976077,18.100296744814614
5,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,56.0,1,90,1.0,0.0,1.0,0.0,0.0,61320.0,6132.0,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.9441393453426473,15.731636529382916
8,NonResidential,Hotel,98121.0,7,DOWNTOWN,Lodging,Parking,Other,75.0,3,36,0.6468846110035311,0.3531153889964688,0.7030698257204693,0.38733910468162663,0.0,175580.0,9754.444,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,1.0480915783667253,16.466821574984518
9,Nonresidential COS,Other,98101.0,7,DOWNTOWN,Other,Missing,Missing,,1,17,0.6176506866211661,0.382349313378834,0.9130622481703807,0.0,0.0,97288.0,48644.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Medium_gas,High_elec,Zero_steam,High_gas,1.1645352602472578,16.307609365403174
10,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,27.0,1,90,1.0,0.0,0.9800501156515035,0.0,0.0,83008.0,7546.182,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,0.8579480024178852,15.566238983044945
11,NonResidential,Other,98101.0,7,DOWNTOWN,Other,Missing,Missing,,1,90,1.0,0.0,1.0,0.0,0.0,102761.0,12845.125,Medium_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.7881029529701082,15.6557637188467
12,NonResidential,Hotel,98104.0,7,DOWNTOWN,Lodging,Missing,Missing,43.0,1,112,1.0,0.0,1.0,0.0,0.0,163984.0,10932.267,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Low_gas,0.36466678110580003,16.434643640030767
15,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,30.0,1,47,0.8741275634454797,0.12587243655452035,0.8741275634454797,0.0,0.0,153163.0,13923.909,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,High_steam,Medium_gas,0.1741979923549935,16.589139051954007
