OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,LargestPropertyUseTypeGFA_log,PropertyGFABuilding(s)_log,PropertyGFATotal_log,ThirdLargestPropertyUseTypeGFA_log,SecondLargestPropertyUseTypeGFA_log,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,TotalGHGEmissions_log
1,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,60.0,1,89,11.390023097868895,11.390023097868895,11.390023097868895,0.0,0.0,1.0,0.0,1.0,0.0,0.0,88434.0,7369.5,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.8000502801282303,5.525373254682162
2,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Parking,Food Service,61.0,3,20,11.33715440673783,11.39079172872657,11.547974025246633,8.438799123988225,9.620129451564402,0.8545468590077825,0.1454531409922175,0.8099183129598517,0.1454531409922175,0.04462854604793079,103566.0,9415.091,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,0.7870765132003066,5.6932606471966185
3,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,43.0,1,47,13.536449880916702,13.540274708933826,13.770629294080045,0.0,0.0,0.7942517074395206,0.20574829256047944,0.791219629540534,0.0,0.0,956110.0,23319.756,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,High_steam,Medium_gas,0.9701094014976077,7.6450533072773705
5,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,56.0,1,90,11.023877640745798,11.023877640745798,11.023877640745798,0.0,0.0,1.0,0.0,1.0,0.0,0.0,61320.0,6132.0,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.9441393453426473,5.660979352330892
8,NonResidential,Hotel,98121.0,7,DOWNTOWN,Lodging,Parking,Other,75.0,3,36,11.723559092466278,11.640271517759631,12.075855753873482,0.0,11.127410032169685,0.6468846110035311,0.3531153889964688,0.7030698257204693,0.38733910468162663,0.0,175580.0,9754.444,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,1.0480915783667253,6.226556431938032
9,Nonresidential COS,Other,98101.0,7,DOWNTOWN,Other,Missing,Missing,,1,17,11.394490967158449,11.003615358893612,11.48544120936798,0.0,0.0,0.6176506866211661,0.382349313378834,0.9130622481703807,0.0,0.0,97288.0,48644.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Medium_gas,High_elec,Zero_steam,High_gas,1.1645352602472578,5.713105546117053
10,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,27.0,1,90,11.306552989656216,11.326704314635162,11.326704314635162,0.0,0.0,1.0,0.0,0.9800501156515035,0.0,0.0,83008.0,7546.182,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,0.8579480024178852,5.176940380381437
11,NonResidential,Other,98101.0,7,DOWNTOWN,Other,Missing,Missing,,1,90,11.540170913860424,11.540170913860424,11.540170913860424,0.0,0.0,1.0,0.0,1.0,0.0,0.0,102761.0,12845.125,Medium_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.7881029529701082,5.404972044416576
12,NonResidential,Hotel,98104.0,7,DOWNTOWN,Lodging,Missing,Missing,43.0,1,112,12.007530239208668,12.007530239208668,12.007530239208668,0.0,0.0,1.0,0.0,1.0,0.0,0.0,163984.0,10932.267,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Low_gas,0.36466678110580003,5.974216653698429
15,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,30.0,1,47,11.804736501505687,11.804736501505687,11.9392645217297,0.0,0.0,0.8741275634454797,0.12587243655452035,0.8741275634454797,0.0,0.0,153163.0,13923.909,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,High_steam,Medium_gas,0.1741979923549935,6.539961607594982
16,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,36.0,1,18,12.726772359619336,12.51361616707751,12.716429159281265,0.0,0.0,0.8164303551276202,0.18356964487237976,1.0103969073402645,0.0,0.0,333176.0,13327.04,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,High_elec,Medium_steam,High_gas,0.13368098560982344,6.609308811083168
17,NonResidential,Hotel,98104.0,7,DOWNTOWN,Lodging,Missing,Missing,48.0,1,88,11.082296383198514,11.082296383198514,11.082296383198514,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65009.0,7223.222,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.1345812813958709,5.796756594662978
18,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Parking,Missing,58.0,2,36,12.596464724140818,12.462082145801965,12.66334874732981,0.0,10.961295207644392,0.8176938269104168,0.18230617308958322,0.9353034638172887,0.18230617308958322,0.0,315952.0,9574.303,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Medium_steam,Medium_gas,0.21016375993614167,6.476387576550862
19,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Parking,Missing,35.0,2,94,11.11826675682705,11.112313560992032,11.431617790897278,0.0,10.134638955251866,0.7266514806378133,0.2733485193621868,0.7309903460245146,0.2733485193621868,0.0,92190.0,8380.909,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Low_elec,Extreme_high_steam,Low_gas,0.15226185761955002,6.239086053829017
21,Nonresidential COS,Other,98154.0,7,DOWNTOWN,Other,Parking,Commercial,,3,12,12.80741698836436,12.779875885354993,12.928781055513184,6.980075940561763,10.799595985047786,0.8616504854368932,0.1383495145631068,0.8857111650485436,0.11893203883495146,0.0026067961165048546,412000.0,37454.545,Medium_elec,Medium_steam,Zero_gas,Medium_elec,Extreme_high_steam,Zero_gas,High_elec,Medium_steam,Zero_gas,0.07275978028168079,5.206092422505519
22,NonResidential,Other,98104.0,7,DOWNTOWN,Recreation,Commercial,Other,,3,86,11.407576060361786,11.55129966608712,11.55129966608712,0.0,10.596659732783579,1.0,0.0,0.8661258192106707,0.38494480853807583,0.0,103911.0,17318.5,Medium_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Medium_gas,0.0971939499110217,6.075024140206913
23,NonResidential,Hotel,98104.0,7,DOWNTOWN,Lodging,Parking,Missing,31.0,2,33,12.760905585289162,12.71072525539031,12.939118194198793,0.0,11.350418300109132,0.7958110026640659,0.20418899733593415,0.8367641088591601,0.20418899733593415,0.0,416281.0,14867.179,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,0.11997432203580115,6.6894624438984165
25,NonResidential,Hotel,98104.0,7,DOWNTOWN,Lodging,Missing,Missing,39.0,1,100,11.555534661493144,11.555534661493144,11.555534661493144,0.0,0.0,1.0,0.0,1.0,0.0,0.0,104352.0,10435.2,High_elec,High_steam,High_gas,Medium_elec,Medium_steam,Low_gas,Low_elec,Extreme_high_steam,Low_gas,0.2715806660934113,5.858847022493143
26,NonResidential,Other,98104.0,7,DOWNTOWN,Other,Missing,Missing,76.0,1,100,13.194034525770327,13.199992713700011,13.199992713700011,0.0,0.0,1.0,0.0,0.9940595158783033,0.0,0.0,540360.0,54036.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,0.41234868254011725,7.143846644402559
27,NonResidential,Other,98104.0,3,DOWNTOWN,Other,Missing,Missing,,1,31,12.861712644003578,12.861712644003578,12.861712644003578,0.0,0.0,1.0,0.0,1.0,0.0,0.0,385274.0,20277.579,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,0.3853948480280994,7.43864820089824
29,NonResidential,Hotel,98105.0,4,NORTHEAST,Lodging,Parking,Missing,84.0,2,15,10.968318971901319,10.968318971901319,11.391808126699964,0.0,10.32833036107053,0.6547543796279574,0.34524562037204265,0.6547543796279574,0.34524562037204265,0.0,88592.0,14765.333,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,6.03597845001104,4.510969390589264
30,NonResidential,University,98121.0,7,DOWNTOWN,Education,Missing,Missing,,1,88,11.736077016252437,11.748740394204184,11.748740394204184,0.0,0.0,1.0,0.0,0.9874163658338139,0.0,0.0,126593.0,18084.714,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,1.3664782306688315,5.963682166095531
31,NonResidential,Other,98101.0,7,DOWNTOWN,Other,Missing,Missing,,1,86,11.115800481137065,11.115800481137065,11.115800481137065,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67224.0,33612.0,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,0.9832821723552617,2.315501318260592
32,NonResidential,Hotel,98101.0,7,EAST,Lodging,Parking,Retail,,4,25,11.632280597567725,11.762718736879195,11.974625968475259,8.412054873292933,10.645448706505872,0.8090385439511961,0.19096145604880385,0.7101010864907106,0.2646903123345686,0.028359676321560917,158676.0,19834.5,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,0.7859917021142739,5.55129152782092
33,NonResidential,Hotel,98101.0,7,DOWNTOWN,Lodging,Missing,Missing,57.0,1,15,11.76686976543715,11.80250074417462,12.054476200865155,0.0,0.0,0.7772625184736947,0.22273748152630538,0.7500552756217053,0.0,0.0,171866.0,17186.6,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,1.3071688954444172,5.797970813310776
